"filename", "language", "Markdown", "TypeScript", "JSON", "JSON with Comments", "vue", "comment", "blank", "total"
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\logger.ts", "TypeScript", 0, 67, 0, 0, 0, 1, 16, 84
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\message-cache.ts", "TypeScript", 0, 52, 0, 0, 0, 1, 12, 65
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\preference.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 4, 23
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\resume.ts", "TypeScript", 0, 168, 0, 0, 0, 1, 30, 199
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\scroll.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 2, 48
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\tampermonkey.ts", "TypeScript", 0, 85, 0, 0, 0, 1, 12, 98
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\shared\utils\tools.ts", "TypeScript", 0, 817, 0, 0, 0, 13, 90, 920
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\state\login.ts", "TypeScript", 0, 20, 0, 0, 0, 1, 5, 26
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\state\push-result.ts", "TypeScript", 0, 43, 0, 0, 0, 1, 8, 52
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\src\state\user.ts", "TypeScript", 0, 42, 0, 0, 0, 1, 7, 50
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 1, 23
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\vite.config.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 11, 98
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-architecture-review\vitest.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\AGENTS.md", "Markdown", 35, 0, 0, 0, 0, 0, 13, 48
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\README.md", "Markdown", 64, 0, 0, 0, 0, 0, 20, 84
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\docs\README.md", "Markdown", 11, 0, 0, 0, 0, 0, 8, 19
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\docs\ai-delivery-regression-checklist.md", "Markdown", 70, 0, 0, 0, 0, 0, 32, 102
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\docs\plans\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 6, 13
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\docs\security-ban-risk-analysis.md", "Markdown", 45, 0, 0, 0, 0, 0, 10, 55
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\docs\terminology.md", "Markdown", 96, 0, 0, 0, 0, 0, 46, 142
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\env.d.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 2, 9
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\package-lock.json", "JSON", 0, 0, 4037, 0, 0, 0, 1, 4038
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\package.json", "JSON", 0, 0, 30, 0, 0, 0, 1, 31
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\app\App.vue", "vue", 0, 0, 0, 0, 8, 0, 3, 11
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\app\main.ts", "TypeScript", 0, 28, 0, 0, 0, 1, 7, 36
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\AGENTS.md", "Markdown", 19, 0, 0, 0, 0, 0, 9, 28
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\ai\ai-power.ts", "TypeScript", 0, 92, 0, 0, 0, 2, 11, 105
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\ai\direct-ai-client.ts", "TypeScript", 0, 332, 0, 0, 0, 38, 44, 414
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\auth\auth-session.ts", "TypeScript", 0, 97, 0, 0, 0, 2, 19, 118
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\auth\auth.ts", "TypeScript", 0, 270, 0, 0, 0, 1, 34, 305
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\engine\push-engine.ts", "TypeScript", 0, 529, 0, 0, 0, 2, 85, 616
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\http\request-throttle.ts", "TypeScript", 0, 71, 0, 0, 0, 17, 17, 105
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\http\request.ts", "TypeScript", 0, 156, 0, 0, 0, 1, 31, 188
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\platform\boss-option.ts", "TypeScript", 0, 533, 0, 0, 0, 6, 20, 559
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\platform\boss-platform.ts", "TypeScript", 0, 1491, 0, 0, 0, 1, 261, 1753
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\platform\platform-factory.ts", "TypeScript", 0, 23, 0, 0, 0, 1, 4, 28
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\protocol\message.ts", "TypeScript", 0, 168, 0, 0, 0, 1, 23, 192
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\protocol\mqtt.ts", "TypeScript", 0, 139, 0, 0, 0, 2, 23, 164
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\protocol\types.ts", "TypeScript", 0, 79, 0, 0, 0, 1, 15, 95
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\core\realtime\sse-client.ts", "TypeScript", 0, 42, 0, 0, 0, 2, 10, 54
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\AGENTS.md", "Markdown", 17, 0, 0, 0, 0, 0, 8, 25
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\account\components\Account.vue", "vue", 0, 0, 0, 0, 724, 0, 60, 784
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\AiConfig.vue", "vue", 0, 0, 0, 0, 750, 0, 78, 828
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\ApiKeyManager.vue", "vue", 0, 0, 0, 0, 443, 0, 54, 497
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\DebugConsole.vue", "vue", 0, 0, 0, 0, 223, 0, 22, 245
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\PromptPresetManager.vue", "vue", 0, 0, 0, 0, 249, 0, 25, 274
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-delivery-judge\components\AiDeliveryJudge.vue", "vue", 0, 0, 0, 0, 6, 0, 2, 8
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-delivery-judge\components\AiDeliveryJudgeSettingsPanel.vue", "vue", 0, 0, 0, 0, 284, 0, 40, 324
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\conversation-cleaner\components\ConversationCleaner.vue", "vue", 0, 0, 0, 0, 210, 0, 21, 231
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\conversation-cleaner\services\conversation-cleaner.ts", "TypeScript", 0, 464, 0, 0, 0, 27, 64, 555
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\job-assistant\components\AiJob.vue", "vue", 0, 0, 0, 0, 713, 0, 11, 724
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\job-assistant\components\BossMessage.vue", "vue", 0, 0, 0, 0, 328, 0, 11, 339
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\memory-session\components\MemorySession.vue", "vue", 0, 0, 0, 0, 301, 0, 25, 326
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\panel\Panel.vue", "vue", 0, 0, 0, 0, 914, 0, 95, 1009
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\preference\components\Preference.vue", "vue", 0, 0, 0, 0, 360, 0, 37, 397
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\run-record\components\RunRecord.vue", "vue", 0, 0, 0, 0, 447, 0, 16, 463
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\errors\index.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 15, 61
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\types\axios-request-config.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\types\event-source-polyfill.d.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 2, 12
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\ai-delivery.test.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 9, 33
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\ai-delivery.ts", "TypeScript", 0, 823, 0, 0, 0, 1, 95, 919
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\fetch.ts", "TypeScript", 0, 54, 0, 0, 0, 1, 7, 62
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\logger.ts", "TypeScript", 0, 67, 0, 0, 0, 1, 16, 84
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\message-cache.ts", "TypeScript", 0, 52, 0, 0, 0, 1, 12, 65
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\preference.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 4, 23
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\resume.ts", "TypeScript", 0, 168, 0, 0, 0, 1, 30, 199
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\scroll.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 2, 48
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\tampermonkey.ts", "TypeScript", 0, 85, 0, 0, 0, 1, 12, 98
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\tools.ts", "TypeScript", 0, 817, 0, 0, 0, 13, 90, 920
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\login.ts", "TypeScript", 0, 20, 0, 0, 0, 1, 5, 26
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\push-result.ts", "TypeScript", 0, 43, 0, 0, 0, 1, 8, 52
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\user.ts", "TypeScript", 0, 42, 0, 0, 0, 1, 7, 50
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 1, 23
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\vite.config.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 11, 98
"z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\vitest.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"z:\8_code\ai-job-hunting\AGENTS.md", "Markdown", 35, 0, 0, 0, 0, 0, 13, 48
"z:\8_code\ai-job-hunting\README.md", "Markdown", 64, 0, 0, 0, 0, 0, 20, 84
"z:\8_code\ai-job-hunting\docs\README.md", "Markdown", 11, 0, 0, 0, 0, 0, 8, 19
"z:\8_code\ai-job-hunting\docs\ai-delivery-regression-checklist.md", "Markdown", 70, 0, 0, 0, 0, 0, 32, 102
"z:\8_code\ai-job-hunting\docs\architecture-review.md", "Markdown", 144, 0, 0, 0, 0, 0, 49, 193
"z:\8_code\ai-job-hunting\docs\plans\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 6, 13
"z:\8_code\ai-job-hunting\docs\security-ban-risk-analysis.md", "Markdown", 45, 0, 0, 0, 0, 0, 10, 55
"z:\8_code\ai-job-hunting\docs\terminology.md", "Markdown", 200, 0, 0, 0, 0, 0, 71, 271
"z:\8_code\ai-job-hunting\env.d.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 2, 9
"z:\8_code\ai-job-hunting\package-lock.json", "JSON", 0, 0, 4037, 0, 0, 0, 1, 4038
"z:\8_code\ai-job-hunting\package.json", "JSON", 0, 0, 30, 0, 0, 0, 1, 31
"z:\8_code\ai-job-hunting\src\app\App.vue", "vue", 0, 0, 0, 0, 8, 0, 3, 11
"z:\8_code\ai-job-hunting\src\app\main.ts", "TypeScript", 0, 28, 0, 0, 0, 1, 7, 36
"z:\8_code\ai-job-hunting\src\core\AGENTS.md", "Markdown", 19, 0, 0, 0, 0, 0, 9, 28
"z:\8_code\ai-job-hunting\src\core\ai\ai-power.ts", "TypeScript", 0, 92, 0, 0, 0, 2, 11, 105
"z:\8_code\ai-job-hunting\src\core\ai\direct-ai-client.ts", "TypeScript", 0, 332, 0, 0, 0, 38, 44, 414
"z:\8_code\ai-job-hunting\src\core\auth\auth-session.ts", "TypeScript", 0, 97, 0, 0, 0, 2, 19, 118
"z:\8_code\ai-job-hunting\src\core\auth\auth.ts", "TypeScript", 0, 270, 0, 0, 0, 1, 34, 305
"z:\8_code\ai-job-hunting\src\core\engine\push-engine.ts", "TypeScript", 0, 529, 0, 0, 0, 2, 85, 616
"z:\8_code\ai-job-hunting\src\core\http\request-throttle.ts", "TypeScript", 0, 71, 0, 0, 0, 17, 17, 105
"z:\8_code\ai-job-hunting\src\core\http\request.ts", "TypeScript", 0, 156, 0, 0, 0, 1, 31, 188
"z:\8_code\ai-job-hunting\src\core\platform\boss-option.ts", "TypeScript", 0, 533, 0, 0, 0, 6, 20, 559
"z:\8_code\ai-job-hunting\src\core\platform\boss-platform.ts", "TypeScript", 0, 1491, 0, 0, 0, 1, 261, 1753
"z:\8_code\ai-job-hunting\src\core\platform\platform-factory.ts", "TypeScript", 0, 23, 0, 0, 0, 1, 4, 28
"z:\8_code\ai-job-hunting\src\core\protocol\message.ts", "TypeScript", 0, 168, 0, 0, 0, 1, 23, 192
"z:\8_code\ai-job-hunting\src\core\protocol\mqtt.ts", "TypeScript", 0, 139, 0, 0, 0, 2, 23, 164
"z:\8_code\ai-job-hunting\src\core\protocol\types.ts", "TypeScript", 0, 79, 0, 0, 0, 1, 15, 95
"z:\8_code\ai-job-hunting\src\core\realtime\sse-client.ts", "TypeScript", 0, 42, 0, 0, 0, 2, 10, 54
"z:\8_code\ai-job-hunting\src\features\AGENTS.md", "Markdown", 17, 0, 0, 0, 0, 0, 8, 25
"z:\8_code\ai-job-hunting\src\features\account\components\Account.vue", "vue", 0, 0, 0, 0, 724, 0, 60, 784
"z:\8_code\ai-job-hunting\src\features\ai-config\components\AiConfig.vue", "vue", 0, 0, 0, 0, 750, 0, 78, 828
"z:\8_code\ai-job-hunting\src\features\ai-config\components\ApiKeyManager.vue", "vue", 0, 0, 0, 0, 443, 0, 54, 497
"z:\8_code\ai-job-hunting\src\features\ai-config\components\DebugConsole.vue", "vue", 0, 0, 0, 0, 223, 0, 22, 245
"z:\8_code\ai-job-hunting\src\features\ai-config\components\PromptPresetManager.vue", "vue", 0, 0, 0, 0, 249, 0, 25, 274
"z:\8_code\ai-job-hunting\src\features\ai-delivery-judge\components\AiDeliveryJudge.vue", "vue", 0, 0, 0, 0, 6, 0, 2, 8
"z:\8_code\ai-job-hunting\src\features\ai-delivery-judge\components\AiDeliveryJudgeSettingsPanel.vue", "vue", 0, 0, 0, 0, 284, 0, 40, 324
"z:\8_code\ai-job-hunting\src\features\conversation-cleaner\components\ConversationCleaner.vue", "vue", 0, 0, 0, 0, 210, 0, 21, 231
"z:\8_code\ai-job-hunting\src\features\conversation-cleaner\services\conversation-cleaner.ts", "TypeScript", 0, 464, 0, 0, 0, 27, 64, 555
"z:\8_code\ai-job-hunting\src\features\job-assistant\components\AiJob.vue", "vue", 0, 0, 0, 0, 713, 0, 11, 724
"z:\8_code\ai-job-hunting\src\features\job-assistant\components\BossMessage.vue", "vue", 0, 0, 0, 0, 328, 0, 11, 339
"z:\8_code\ai-job-hunting\src\features\memory-session\components\MemorySession.vue", "vue", 0, 0, 0, 0, 301, 0, 25, 326
"z:\8_code\ai-job-hunting\src\features\panel\Panel.vue", "vue", 0, 0, 0, 0, 914, 0, 95, 1009
"z:\8_code\ai-job-hunting\src\features\preference\components\Preference.vue", "vue", 0, 0, 0, 0, 360, 0, 37, 397
"z:\8_code\ai-job-hunting\src\features\run-record\components\RunRecord.vue", "vue", 0, 0, 0, 0, 447, 0, 16, 463
"z:\8_code\ai-job-hunting\src\shared\errors\index.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 15, 61
"z:\8_code\ai-job-hunting\src\shared\types\axios-request-config.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"z:\8_code\ai-job-hunting\src\shared\types\event-source-polyfill.d.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 2, 12
"z:\8_code\ai-job-hunting\src\shared\utils\ai-delivery.test.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 9, 33
"z:\8_code\ai-job-hunting\src\shared\utils\ai-delivery.ts", "TypeScript", 0, 823, 0, 0, 0, 1, 95, 919
"z:\8_code\ai-job-hunting\src\shared\utils\fetch.ts", "TypeScript", 0, 54, 0, 0, 0, 1, 7, 62
"z:\8_code\ai-job-hunting\src\shared\utils\logger.ts", "TypeScript", 0, 67, 0, 0, 0, 1, 16, 84
"z:\8_code\ai-job-hunting\src\shared\utils\message-cache.ts", "TypeScript", 0, 52, 0, 0, 0, 1, 12, 65
"z:\8_code\ai-job-hunting\src\shared\utils\preference.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 4, 23
"z:\8_code\ai-job-hunting\src\shared\utils\resume.ts", "TypeScript", 0, 168, 0, 0, 0, 1, 30, 199
"z:\8_code\ai-job-hunting\src\shared\utils\scroll.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 2, 48
"z:\8_code\ai-job-hunting\src\shared\utils\tampermonkey.ts", "TypeScript", 0, 85, 0, 0, 0, 1, 12, 98
"z:\8_code\ai-job-hunting\src\shared\utils\tools.ts", "TypeScript", 0, 817, 0, 0, 0, 13, 90, 920
"z:\8_code\ai-job-hunting\src\state\login.ts", "TypeScript", 0, 20, 0, 0, 0, 1, 5, 26
"z:\8_code\ai-job-hunting\src\state\push-result.ts", "TypeScript", 0, 43, 0, 0, 0, 1, 8, 52
"z:\8_code\ai-job-hunting\src\state\user.ts", "TypeScript", 0, 42, 0, 0, 0, 1, 7, 50
"z:\8_code\ai-job-hunting\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 1, 23
"z:\8_code\ai-job-hunting\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
